Uuid,Privilege name,Description,_order:1000
9e33ad60-5f8d-4729-a85c-67442f3ea654,Manage Immunization Summary,Able to manage Patient immunisation,
55933d7f-1cdc-49fd-b8e0-a6d6c6368a6b,Manage Patient Medication,Able to manage Patient Medications,
c8fbca3f-8fb3-49fb-937a-39ff054ea417,Patient Dashboard - View Conditions,Able to see patient Conditions,
435755cf-ef59-449b-818b-c9ce74460daf,Manage Patient Attachments,Able to manage Patient Attachments,
79956262-4712-46d9-8464-aa6ef15a90c3,Manage Order Basket,Able to manage Order Basket,
ea379da7-49f9-444c-96b0-40cec91293af,Manage Visit Note,Able to manage Visit Note,
8783db13-f516-4a9a-b936-e5ffd37e7cce,Manage Clinical Forms,Able to manage Clinical Forms,
2a975a20-97b7-403d-a4ae-fafe2320006d,Manage Patient Orders,Able to manage Patient Orders,
e759c81b-24af-4c1e-b1f6-e2982238ed20,Manage Sensitive Appointments,Able to manage sensitive appointments,
ddfee3a9-67cb-41da-85b0-69ae508d4130,Manage Nutrition,Able to view and manage nutrition data,
bc88fe2d-6f51-4626-9b65-ec697e745fb5,View Mental Health,Able to view and view mental health data,
777e5814-5d40-4baa-a4c3-49b4923ce74a,Edit Mental Health,Able to view and edit mental health data,
011caaec-b30a-4e4c-9227-911b836bc3f6,View Family Planning,Able to view family planning data,
b1b3b3b3-1b3b-1b3b-1b3b-1b3b1b3b1b3b,Edit Family Planning,Able to view and edit family planning data,
84f39616-e2fa-41d7-8a0c-699d37bbbe41,View Social Work,Able to view social work data
8ee59f84-6879-4258-a193-2c09a0a6c4dc,Edit Social Work,Able to view and edit social work data
9fe9e37a-218b-429e-ad69-c0a706e5ed2f,View HIV,Able to view HIV data
fee31769-a55f-4b35-9af9-1c84057d6b19,Edit HIV,Able to view and edit HIV data
54d61b24-57eb-4dd2-9fb0-81168551e9a8,View Referral & Discharge,Able to view referral and discharge data
627f7e40-c309-487c-bdcb-266e3ffe6326,Edit Referral & Discharge,Able to view and edit referral and discharge data
171faa64-a47a-4f54-9ebb-ae14e0a67722,View Gynaecology,Able to view gynaecology data
f7e8be0c-a9b5-468d-af53-d54ea2b45c8c,Edit Gynaecology,Able to view and edit gynaecology data,
