"Uuid","Name","Concept Drug","Concept Dosage Form","Strength"
"944c0b16-4628-48af-a657-67733e462df3","ABACAVIR sulfate (ABC), eq. 300mg base, tab.","6f3e41fa-e4a7-42f2-9967-4725f8b5cb9c","c1f4a088-32a8-4b34-8162-944bb6ed026f","eq. 300mg base"
"0923031c-efd5-42cf-afc5-0ad1aa7d15b9","ABACAVIR sulfate (ABC), 60mg, disp. tab.","6f3e41fa-e4a7-42f2-9967-4725f8b5cb9c","06fa5b83-7472-45c4-94dc-8b06075690ba","60mg"
"eb611818-4e0d-47d4-914e-dce90a2e7422","ABC 600mg / 3TC 300mg, tab.","d0f4efbd-56a4-4860-8d0d-9891d618805a","c1f4a088-32a8-4b34-8162-944bb6ed026f","600mg / 300mg"
"dd1d8bbf-610a-444b-b2a8-69f5ebf01c21","ABC 120mg / 3TC 60mg, disp. and break. tab.","d0f4efbd-56a4-4860-8d0d-9891d618805a","7c964548-938f-4e28-971e-b1bc660f2484","120mg / 60mg"
"731dd476-ee5e-4046-b77a-1390ee202847","N-ACETYLCYSTEINE, 200mg, gran. for oral sol., sachet","891e14e1-321e-4f8b-9943-d48b84fd5e55","2aba1a18-5eeb-4e2e-9ff3-879580b74286","200mg"
"d0723e60-25d7-4b9c-8e8d-35463d72c4bf","ACENOCOUMAROL, 4mg, tab.","814b97e7-53c1-4b6f-a9fc-eb2c49cc3a1c","c1f4a088-32a8-4b34-8162-944bb6ed026f","4mg"
"3dd2a7cc-90d7-43fe-ad1d-4563d1640a58","ACETAZOLAMIDE, 250mg, tab.","c2af1a13-d313-4b45-ae4a-4f2b7fdac231","c1f4a088-32a8-4b34-8162-944bb6ed026f","250mg"
"f63501d6-ea1c-4309-bde2-7539594dbb00","ACICLOVIR, 200mg, tab.","da834a1d-fd81-4fbe-843e-93764ce59076","c1f4a088-32a8-4b34-8162-944bb6ed026f","200mg"
"448de809-7996-4318-963e-3506e0116ef8","ACICLOVIR, 400mg, tab.","da834a1d-fd81-4fbe-843e-93764ce59076","c1f4a088-32a8-4b34-8162-944bb6ed026f","400mg"
"c4c8a96c-5cfd-4922-a9a3-734cdd524301","ACICLOVIR, 800mg, tab.","da834a1d-fd81-4fbe-843e-93764ce59076","c1f4a088-32a8-4b34-8162-944bb6ed026f","800mg"
"1b88aaf6-722f-49fc-bcd3-0b64be777fec","ACETYLSALICYLIC acid (aspirin), 300-325mg, tab.","0b33b83f-8375-4423-a1cf-e781628f6f0c","c1f4a088-32a8-4b34-8162-944bb6ed026f","300-325mg"
"62c2a237-2f04-4b0a-b577-98edfdc606f6","ACETYLSALICYLIC acid (aspirin), 300mg, disp. tab.","0b33b83f-8375-4423-a1cf-e781628f6f0c","06fa5b83-7472-45c4-94dc-8b06075690ba","300mg"
