country,stateProvince,cityVillage,address1,address2
Eswatini%00,,,,
Eswatini%00,Manzini%01,,,
Eswatini%00,Shiselweni%02,,,
Eswatini%00,Lubombo%03,,,
Eswatini%00,Hhohho%04,,,
Eswatini%00,Manzini%01,Kukhanyeni%0101,,
Eswatini%00,Manzini%01,Mtfongwaneni%0102,,
Eswatini%00,Manzini%01,Mahlangatja%0103,,
Eswatini%00,Manzini%01,Mangcongco%0104,,
Eswatini%00,Manzini%01,Ludzeludze%0105,,
Eswatini%00,Manzini%01,Emkhiweni%0106,,
Eswatini%00,Manzini%01,Lobamba Lomdzala%0107,,
Eswatini%00,Manzini%01,Ntondozi%0108,,
Eswatini%00,Manzini%01,Lamgabhi%0109,,
Eswatini%00,Manzini%01,Mafutseni%0110,,
Eswatini%00,Manzini%01,Nhlambeni%0111,,
Eswatini%00,Manzini%01,Ngwempisi%0112,,
Eswatini%00,Manzini%01,Mhlambanyatsi%0113,,
Eswatini%00,Manzini%01,Manzini North%0114,,
Eswatini%00,Manzini%01,Manzini South%0115,,
Eswatini%00,Manzini%01,Kwalusen%0116,,
Eswatini%00,Manzini%01,Ngudzeni%0117,,
Eswatini%00,Manzini%01,Khubuta%0118,,
Eswatini%00,Manzini%01,Mtsambama%0119,,
Eswatini%00,Manzini%01,Matsanjeni%0120,,
Eswatini%00,Manzini%01,Matsanjeni North%0121,,
Eswatini%00,Manzini%01,Dvokodveni%0122,,
Eswatini%00,Manzini%01,Nkilongo%0123,,
Eswatini%00,Shiselweni%02,Sigwe%0201,,
Eswatini%00,Shiselweni%02,Gege%0202,,
Eswatini%00,Shiselweni%02,Shiselweni I%0203,,
Eswatini%00,Shiselweni%02,Shiselweni II%0204,,
Eswatini%00,Shiselweni%02,Sandleni%0205,,
Eswatini%00,Shiselweni%02,Hosea%0206,,
Eswatini%00,Shiselweni%02,Zombodze%0207,,
Eswatini%00,Shiselweni%02,Nkwene%0208,,
Eswatini%00,Shiselweni%02,Maseyisini%0209,,
Eswatini%00,Shiselweni%02,Somntongo%0210,,
Eswatini%00,Shiselweni%02,Sithobela%0211,,
Eswatini%00,Shiselweni%02,Mpholonjeni%0212,,
Eswatini%00,Lubombo%03,Siphofaneni%0301,,
Eswatini%00,Lubombo%03,Lubuli%0302,,
Eswatini%00,Lubombo%03,Hlane%0303,,
Eswatini%00,Lubombo%03,Lomahasha%0304,,
Eswatini%00,Lubombo%03,Lugongolweni%0305,,
Eswatini%00,Lubombo%03,Mhlumbe%0306,,
Eswatini%00,Hhohho%04,Hhukwini%0401,,
Eswatini%00,Hhohho%04,Lobamba%0402,,
Eswatini%00,Hhohho%04,Mbabane West%0403,,
Eswatini%00,Hhohho%04,Mbabane East%0404,,
Eswatini%00,Hhohho%04,Maphalaleni%0405,,
Eswatini%00,Hhohho%04,Motshane%0406,,
Eswatini%00,Hhohho%04,Nkhaba%0407,,
Eswatini%00,Hhohho%04,Ntfonjeni%0408,,
Eswatini%00,Hhohho%04,Pigg`s Peak%0409,,
Eswatini%00,Hhohho%04,Madlangampisi%0410,,
Eswatini%00,Hhohho%04,Mhlangatane%0411,,
Eswatini%00,Hhohho%04,Ndzingeni%0412,,
Eswatini%00,Hhohho%04,Mayiwane%0413,,
